"Sent From:","Amount:","To:","Date"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.2000 cUSD","0x1051c82d597334a8c55af238a8005fc8bc630e74","Oct 29, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0x2c8e050a6d0efbd773587fb45835b936b2a9cb5b","Oct 29, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 29, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.2000 cUSD","0x7db62d75fb80fbd2267418c11c8bf6a8d713d84e","Oct 29, 2021"
"0x7db62d75fb80fbd2267418c11c8bf6a8d713d84e","0.4985 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x3e6caee6dc8e5f72a17ba73f37e4ab6d35b0195a","1.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0x0e229eff9c0bb0128d1d62d6b24d6f6f3fc839d3","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.1000 cUSD","0x7db62d75fb80fbd2267418c11c8bf6a8d713d84e","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0x0e229eff9c0bb0128d1d62d6b24d6f6f3fc839d3","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.1000 cUSD","0x1051c82d597334a8c55af238a8005fc8bc630e74","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0xd2ddefbc2943de379f00917fe8411f7d71580b77","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.1000 cUSD","0x1051c82d597334a8c55af238a8005fc8bc630e74","Oct 28, 2021"
